SMILES,ID,mNaCT pIC50
OCC(O)CNc1nc(Cl)c(C#N)c2CCN(Cc3c(F)cccc3F)Cc12,221,4.69897000433602
OCC(O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC(F)F)c(F)c3)Cc12,222,4.69897000433602
OCC(O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC(F)F)cc3)Cc12,223,4.69897000433602
OCC(O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3F)C#N)Cc12,224,4.69897000433602
OCC(O)CNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,225,4.69897000433602
OCC(O)CNc1nc(Cl)c(C#N)c2CN(Cc3ccccc3)CCc12,226,4.69897000433602
OCC(O)CNc1nc(F)c(C#N)c2CCN(Cc3c(F)cc(cc3F)C#N)Cc12,227,4.69897000433602
OCCCNc1nc(NCc2ccccc2)c2CN(Cc3ccccc3)CCc2c1C#N,228,4.69897000433602
OCCNc1nc(Cl)c(C#N)c2CCN(Cc3c(F)cc(cc3F)C#N)Cc12,229,5.55500497814928
OCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(C#N)c(F)c3)Cc12,230,5.31980374941562
OCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC(F)F)c(F)c3)Cc12,231,5.73291509241071
OCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC(F)F)cc3)Cc12,232,5.95755099673467
OCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3)C#N)Cc12,233,5.39384732290861
OCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccccc3)Cc12,234,5.48114336167281
OCCNc1nc(Cl)c(C#N)c2CN(Cc3ccccc3)CCc12,235,4.94309514866353
OCCNc1nc(F)c(C#N)c2CCN(Cc3ccc(OC(F)F)c(F)c3)Cc12,236,4.98005842908448
OCCNc1nc(F)c(C#N)c2CCN(Cc3ccc(OC(F)F)cc3)Cc12,237,5.17264861555626
Oc1cnc2cc(Nc3nc(Cl)c(C#N)c4CCN(Cc5ccccc5)Cc34)ccc2c1,238,4.69897000433602
